iter	RMSE
147	35.86919195
148	35.61993875
149	35.424601
150	35.20714282
151	34.93605085
152	34.77728523
153	34.56455176
154	34.39976965
155	34.23003473
156	34.07554839
157	33.82950264
158	33.67877156
159	33.54615261
160	33.40140018
161	33.22712263
162	33.04591028
163	32.84886856
164	32.68621846
165	32.51249892
166	32.35879056
167	32.20856593
168	32.05858383
169	31.88962352
170	31.74440584
171	31.62666997
172	31.50361144
173	31.42533032
174	31.22872876
175	31.08843115
176	30.94567061
177	30.8650431
178	30.74609047
179	30.56334673
180	30.41142034
181	30.28035101
182	30.17206753
183	30.06166686
184	30.01838242
185	29.90525985
186	29.7490106
187	29.63642908
188	29.59499504
189	29.49886082
190	29.4327477
191	29.34473633
192	29.24901795
193	29.18722711
194	29.12578754
195	29.02431687
196	28.87919709
197	28.76406581
198	28.68266418
199	28.58211588
200	28.52098374
201	28.46188987
202	28.4216306
203	28.25847668
204	28.18441229
205	28.07925717
206	28.02956878
207	27.92260865
208	27.85279797
209	27.81960008
210	27.77857551
211	27.73722297
212	27.65239308
213	27.52403932
214	27.43013298
215	27.35487115
216	27.30916519
217	27.2464842
218	27.21030306
219	27.185186
220	27.15398868
221	27.11552343
222	27.0701258
223	27.03804946
224	26.94333374
225	26.89401969
226	26.85746476
227	26.81657779
228	26.79543737
229	26.76166915
230	26.7241839
231	26.67434373
232	26.64434997
233	26.61705297
234	26.58824615
235	26.55493798
236	26.52832497
237	26.41173394
238	26.34935376
239	26.33222755
240	26.30476522
241	26.28473774
242	26.26113398
243	26.22655594
244	26.20535544
245	26.14577567
246	26.07940709
247	26.06038375
248	26.03275067
249	26.00025307
250	25.9498507
251	25.91648881
252	25.8088722
253	25.76849517
254	25.64483342
255	25.62649667
256	25.60969063
257	25.58517496
258	25.57283948
259	25.46196661
260	25.44522904
261	25.34501711
262	25.33242717
263	25.21114262
264	25.13513692
265	25.06524734
266	24.9794948
267	24.96215029
268	24.92518891
269	24.907944
270	24.84074026
271	24.76960433
272	24.67070947
273	24.64764209
274	24.63332084
275	24.56068457
276	24.54504053
277	24.49884701
278	24.48625872
279	24.47737762
280	24.44242555
281	24.42612392
282	24.37041493
283	24.35768284
284	24.33715221
285	24.25365812
286	24.1372974
287	23.99894593
288	23.98864607
289	23.87955869
290	23.80931056
291	23.74053383
292	23.68335184
293	23.67307281
294	23.56533082
295	23.50243238
296	23.48283896
297	23.47345351
298	23.39434481
299	23.3824136
300	23.30902686
301	23.30041058
302	23.18118489
303	23.17051718
304	23.15282871
305	23.10209852
306	22.98773287
307	22.91662565
308	22.86108159
309	22.85180884
310	22.80868886
311	22.69515589
312	22.58798799
313	22.52753159
314	22.46496204
315	22.45689413
316	22.45044909
317	22.4336582
318	22.35075828
319	22.34342586
320	22.32579723
321	22.27413617
322	22.2648665
323	22.25856701
324	22.17348161
325	22.14969828
326	22.08169924
327	21.97838662
328	21.96548982
329	21.9578683
330	21.95194046
331	21.85816215
332	21.76989839
333	21.76134412
334	21.66956144
335	21.57136109
336	21.52427622
337	21.45057855
338	21.43482657
339	21.3336711
340	21.32755292
341	21.23588122
342	21.14648788
343	21.0604586
344	20.98905072
345	20.92284632
346	20.90712504
347	20.90237447
348	20.82241454
349	20.77292794
350	20.68791702
351	20.66990085
352	20.59396631
353	20.51160811
354	20.44438049
355	20.43069145
356	20.41575841
357	20.34401595
358	20.33585367
359	20.32883737
360	20.31457106
361	20.2374593
362	20.17040089
363	20.13839327
364	20.06079589
365	19.98727135
366	19.98211492
367	19.97649071
368	19.90905669
369	19.90469083
370	19.86606105
371	19.79382395
372	19.75034641
373	19.73666617
374	19.68314474
375	19.6273904
376	19.60233241
377	19.52831792
378	19.52205043
379	19.4466446
380	19.42663872
381	19.33948587
382	19.33334721
383	19.32802208
384	19.2596364
385	19.18521936
386	19.14890459
387	19.09817693
388	19.04988018
389	18.99761449
390	18.97365372
391	18.93151021
392	18.92420623
393	18.9009178
394	18.81923534
395	18.74866257
396	18.70482209
397	18.67890173
398	18.63098342
399	18.57119753
400	18.56104624
401	18.51903753
402	18.50722656
403	18.45529208
404	18.40511506
405	18.38061918
406	18.3753487
407	18.33513128
408	18.32190156
409	18.28465591
410	18.22899933
411	18.17897594
412	18.13853115
413	18.09827075
414	18.08000076
415	18.01481893
416	17.97305852
417	17.91820658
418	17.9132442
419	17.88538675
420	17.82907836
421	17.76823151
422	17.72212025
423	17.70445974
424	17.66809365
425	17.62078589
426	17.6152839
427	17.57937902
428	17.56234541
429	17.50350743
430	17.45845175
431	17.40447247
432	17.37218009
433	17.34182051
434	17.29485581
435	17.23064013
436	17.18734765
437	17.15325153
438	17.13982571
439	17.08517273
440	17.02536982
441	16.98693762
442	16.9833941
443	16.96856455
444	16.95212402
445	16.91763409
446	16.89256724
447	16.86551446
448	16.82111516
449	16.78330196
450	16.71827477
451	16.68414649
452	16.65143877
453	16.61982972
454	16.60334949
455	16.58888558
456	16.56606048
457	16.51435629
458	16.48309686
459	16.42045002
460	16.378917
461	16.35541155
462	16.33993965
463	16.29033169
464	16.250136
465	16.22210751
466	16.19637002
467	16.16603075
468	16.11678778
469	16.11291351
470	16.06470101
471	16.03522137
472	15.9968686
473	15.97112323
474	15.96269532
475	15.94964353
476	15.94215469
477	15.9138152
478	15.89537
479	15.8581268
480	15.83046478
481	15.80595739
482	15.77902082
483	15.73296947
484	15.68783308
485	15.66345318
486	15.62728487
487	15.5814141
488	15.54769106
489	15.51351766
490	15.46761804
491	15.4316024
492	15.38413637
493	15.33989172
494	15.31719573
495	15.30144709
496	15.26386457
497	15.2315351
498	15.20749082
499	15.19011834
500	15.16570231
501	15.13447812
502	15.11089233
503	15.08101383
504	15.04187142
505	15.02692047
506	15.00244213
507	14.98818638
508	14.97749006
509	14.95423821
510	14.90947493
511	14.88704026
512	14.85713493
513	14.82114924
514	14.79620407
515	14.75236607
516	14.7354958
517	14.71455822
518	14.67491194
519	14.6607899
520	14.64307407
521	14.59938219
522	14.58083742
523	14.56859078
524	14.5525437
525	14.52859335
526	14.51086563
527	14.46833653
528	14.44565892
529	14.42292225
530	14.39756848
531	14.38449203
532	14.36283589
533	14.34550944
534	14.31476626
535	14.28971233
536	14.26715426
537	14.25618466
538	14.23806504
539	14.22387502
540	14.20363587
541	14.17648599
542	14.15434494
543	14.14653095
544	14.1235208
545	14.10630152
546	14.08771486
547	14.06660594
548	14.04806155
549	14.02753139
550	14.00637692
551	13.98964658
552	13.97448912
553	13.95894409
554	13.92691079
555	13.89385896
556	13.86594019
557	13.82639405
558	13.81443085
559	13.78242013
560	13.75129942
561	13.73239808
562	13.71626973
563	13.6907369
564	13.67147544
565	13.63805511
566	13.62430156
567	13.60084932
568	13.57546272
569	13.56111813
570	13.54465625
571	13.52794315
572	13.50878393
573	13.4892627
574	13.47039008
575	13.4487943
576	13.42947157
577	13.403797
578	13.38971861
579	13.36773431
580	13.349975
581	13.32755216
582	13.29454824
583	13.27445026
584	13.25473884
585	13.23149471
586	13.22078166
587	13.19903545
588	13.17201577
589	13.15579311
590	13.13685813
591	13.09916441
592	13.07975898
593	13.04530157
594	13.03062222
595	13.01446159
596	13.00040998
597	12.98941288
598	12.96394821
599	12.94457871
600	12.91941493
601	12.90524115
602	12.89479023
603	12.88544224
604	12.87154762
605	12.85945479
606	12.85044149
607	12.84046101
608	12.82476907
609	12.81194213
610	12.78385332
611	12.77085287
612	12.75760055
613	12.74471457
614	12.74077891
615	12.72707316
616	12.71262637
617	12.69592726
618	12.67279607
619	12.65472306
620	12.64329502
621	12.63252904
622	12.59135733
623	12.56798541
624	12.55079239
625	12.52391151
626	12.49063524
627	12.45387963
628	12.4470612
629	12.43331749
630	12.41900223
631	12.38844083
632	12.37130914
633	12.3575651
634	12.33287058
635	12.31644447
636	12.28624731
637	12.27021777
638	12.25457028
639	12.21431983
640	12.19614183
641	12.1725156
642	12.13851838
643	12.12685747
644	12.11078871
645	12.09904419
646	12.08075674
647	12.07618228
648	12.06591493
649	12.05742726
650	12.04394525
651	12.03453546
652	12.02200261
653	12.0154841
654	11.97859657
655	11.97503605
656	11.95962602
657	11.93555314
658	11.92607097
659	11.91450413
660	11.90350104
661	11.88662735
662	11.86684375
663	11.85599109
664	11.82553024
665	11.81348643
666	11.80586312
667	11.7969729
668	11.7948986
669	11.78174514
670	11.75876633
671	11.74749048
672	11.73745528
673	11.72444611
674	11.69566335
675	11.68121732
676	11.67567623
677	11.67344529
678	11.66125727
679	11.64084928
680	11.63188926
681	11.61719484
682	11.60553277
683	11.59641059
684	11.58767994
685	11.5632844
686	11.54050905
687	11.52856344
688	11.51717673
689	11.50497274
690	11.4925447
691	11.47870805
692	11.46708399
693	11.45901514
694	11.44790866
695	11.42941496
696	11.42092201
697	11.41248522
698	11.39481498
699	11.38717311
700	11.37778903
701	11.35582345
702	11.34121633
703	11.3334979
704	11.32470985
705	11.32273258
706	11.30424227
707	11.28337446
708	11.27350155
709	11.25334862
710	11.24541501
711	11.22970773
712	11.22197142
713	11.20843229
714	11.18158996
715	11.16709305
716	11.15327041
717	11.13700243
718	11.12933451
719	11.09892256
720	11.07017387
721	11.06050878
722	11.04230803
723	11.03028473
724	11.01196567
725	10.99288669
726	10.9793449
727	10.97182425
728	10.96434201
729	10.94986813
730	10.94105139
731	10.92751569
732	10.90933848
733	10.90259319
734	10.89556829
735	10.87187878
736	10.8564596
737	10.84191253
738	10.83431671
739	10.81975943
740	10.81053233
741	10.80183711
742	10.79343918
743	10.77826485
744	10.77400038
745	10.75313124
746	10.74174783
747	10.71937422
748	10.70484933
749	10.69006465
750	10.68239243
751	10.66469168
752	10.65211483
753	10.63957336
754	10.63069878
755	10.61569006
756	10.59792245
757	10.59468645
758	10.58071912
759	10.57480864
760	10.57244436
761	10.55344152
762	10.53757756
763	10.53055616
764	10.51425672
765	10.51255039
766	10.50867208
767	10.50163674
768	10.48089378
769	10.46676083
770	10.45901836
771	10.45455778
772	10.4316483
773	10.42979413
774	10.41718032
775	10.41061358
776	10.39186787
777	10.3903607
778	10.37627072
779	10.37035729
780	10.35499754
781	10.33391317
782	10.30799832
783	10.28186175
784	10.27997647
785	10.27155049
786	10.25751709
787	10.24389928
788	10.22655266
789	10.21268183
790	10.18966911
791	10.17135351
792	10.165057
793	10.16176549
794	10.15234509
795	10.14652111
796	10.14162481
797	10.13500431
798	10.11790687
799	10.11157239
800	10.09732742
801	10.0723564
802	10.05954176
803	10.05169957
804	10.03651965
805	10.0301643
806	10.0279906
807	10.01777327
808	10.00595738
809	9.985298279
810	9.977622763
811	9.96583299
812	9.958119284
813	9.942755254
814	9.926149951
815	9.917206463
816	9.903170696
817	9.88567923
818	9.883923468
819	9.866755087
820	9.857415797
821	9.833932144
822	9.816234134
823	9.804532291
824	9.799031588
825	9.7764311
826	9.757396451
827	9.748924654
828	9.738315579
829	9.731817391
830	9.721204592
831	9.699328554
832	9.697965044
833	9.672786037
834	9.667635915
835	9.660941994
836	9.643349055
837	9.626012892
838	9.621803186
839	9.603186878
840	9.584374365
841	9.582261565
842	9.576753641
843	9.571617059
844	9.565571885
845	9.550661178
846	9.53653665
847	9.531303191
848	9.52958698
849	9.521277914
850	9.512558953
851	9.504705661
852	9.499540183
853	9.491777607
854	9.489297859
855	9.473792519
856	9.460114149
857	9.435956874
858	9.427764504
859	9.422862189
860	9.411113118
861	9.409484602
862	9.393231291
863	9.373876129
864	9.368984145
865	9.352705647
866	9.348091101
867	9.337831301
868	9.336176522
869	9.321609804
870	9.315365408
871	9.297349468
872	9.282231377
873	9.277802447
874	9.273349046
875	9.26866505
876	9.259561865
877	9.255795689
878	9.237526805
879	9.227892388
880	9.223927571
881	9.210610832
882	9.198853148
883	9.194476682
884	9.174919189
885	9.165166643
886	9.144055386
887	9.13117937
888	9.115986456
889	9.098155141
890	9.083992876
891	9.065480058
892	9.059284263
893	9.052556443
894	9.033798785
895	9.029628662
896	9.017724278
897	9.01431981
898	9.010451774
899	8.995462191
900	8.983325347
901	8.982367633
902	8.978293723
903	8.975105955
904	8.959285301
905	8.952372559
906	8.948741093
907	8.944088152
908	8.941099716
909	8.928797139
910	8.919268785
911	8.904490436
912	8.901354249
913	8.89871846
914	8.895960349
915	8.881525855
916	8.865150525
917	8.847492816
918	8.832622721
919	8.822058175
920	8.806491171
921	8.793477399
922	8.788883292
923	8.785937087
924	8.781486163
925	8.776464792
926	8.772671176
927	8.771345061
928	8.767717933
929	8.755847772
930	8.740634577
931	8.737963638
932	8.732448865
933	8.728005159
934	8.723588595
935	8.7076754
936	8.695114769
937	8.687525666
938	8.678362462
939	8.673422327
940	8.666037579
941	8.658250173
942	8.647441169
943	8.630540853
944	8.628867342
945	8.624672067
946	8.610937545
947	8.606425811
948	8.593241028
949	8.583712441
950	8.576822309
951	8.564654275
952	8.556413297
953	8.542982576
954	8.531464585
955	8.529547209
956	8.520704792
957	8.518145789
958	8.504497979
959	8.497054061
960	8.489984274
961	8.485358915
962	8.475735411
963	8.463473388
964	8.457343039
965	8.447337966
966	8.444817154
967	8.441460806
968	8.437276887
969	8.436383779
970	8.433867044
971	8.425875657
972	8.421628654
973	8.419746585
974	8.409035307
975	8.400789509
976	8.388192481
977	8.375088
978	8.369852129
979	8.365840087
980	8.364750226
981	8.354820797
982	8.347139407
983	8.336618161
984	8.326941479
985	8.314167554
986	8.307203124
987	8.296257033
988	8.287784331
989	8.273503504
990	8.272295401
991	8.266475214
992	8.26461472
993	8.256090347
994	8.244090949
995	8.240714327
996	8.232747374
997	8.224707737
998	8.217856165
999	8.209625137
