iter	Passed	Remaining
475	688	757
476	689	756
477	691	755
478	693	754
479	694	752
480	697	752
481	699	751
482	701	751
483	703	750
484	705	749
485	706	747
486	708	746
487	709	744
488	711	743
489	712	741
490	713	740
491	715	738
492	716	737
493	718	735
494	719	734
495	720	732
496	721	730
497	723	728
498	724	727
499	725	725
500	726	723
501	727	721
502	728	719
503	729	717
504	730	715
505	731	713
506	731	711
507	733	710
508	734	708
509	735	706
510	736	704
511	737	702
512	738	700
513	738	698
514	739	696
515	740	694
516	741	692
517	742	690
518	743	688
519	743	686
520	744	684
521	745	682
522	746	680
523	746	678
524	747	676
525	748	674
526	749	672
527	749	670
528	750	668
529	751	666
530	752	664
531	752	662
532	753	660
533	754	658
534	755	656
535	756	654
536	757	652
537	757	650
538	758	648
539	759	646
540	760	644
541	760	642
542	761	641
543	762	638
544	762	636
545	763	634
546	764	632
547	764	630
548	765	628
549	766	626
550	767	625
551	767	623
552	768	621
553	769	619
554	770	617
555	770	615
556	771	613
557	772	611
558	773	610
559	773	608
560	774	606
561	775	604
562	776	602
563	776	600
564	777	598
565	778	596
566	778	594
567	779	592
568	780	591
569	781	589
570	781	587
571	782	585
572	783	583
573	783	581
574	784	579
575	785	578
576	786	576
577	786	574
578	787	572
579	788	570
580	789	569
581	789	567
582	790	565
583	791	563
584	792	561
585	792	560
586	793	558
587	794	556
588	794	554
589	795	552
590	796	551
591	797	549
592	797	547
593	798	545
594	799	543
595	799	542
596	800	540
597	801	538
598	802	537
599	803	535
600	803	533
601	804	531
602	805	530
603	805	528
604	806	526
605	807	525
606	808	523
607	808	521
608	809	519
609	810	518
610	811	516
611	811	514
612	812	513
613	813	511
614	814	509
615	814	507
616	815	506
617	816	504
618	817	503
619	818	501
620	819	499
621	819	498
622	820	496
623	821	494
624	822	493
625	822	491
626	823	489
627	824	488
628	825	486
629	825	485
630	826	483
631	827	481
632	828	480
633	829	478
634	829	476
635	830	475
636	831	473
637	832	472
638	833	470
639	834	469
640	835	467
641	836	466
642	836	464
643	837	463
644	838	461
645	839	460
646	840	458
647	841	456
648	842	455
649	843	454
650	844	452
651	845	451
652	845	449
653	846	448
654	847	446
655	849	445
656	850	443
657	850	442
658	851	440
659	852	439
660	853	437
661	853	436
662	854	434
663	855	432
664	856	431
665	857	429
666	858	428
667	858	426
668	859	425
669	860	423
670	862	422
671	862	421
672	864	420
673	866	418
674	867	417
675	868	416
676	869	414
677	871	413
678	872	412
679	873	411
680	875	410
681	877	408
682	881	409
683	884	408
684	887	408
685	890	407
686	893	406
687	896	406
688	898	405
689	901	404
690	904	404
691	906	403
692	909	402
693	911	402
694	915	401
695	918	400
696	920	400
697	923	399
698	925	398
699	928	397
700	929	396
701	932	395
702	935	395
703	937	394
704	939	393
705	942	392
706	944	391
707	947	390
708	948	389
709	951	388
710	953	387
711	956	386
712	958	385
713	960	384
714	962	383
715	964	382
716	966	381
717	968	380
718	969	379
719	971	377
720	973	376
721	975	375
722	976	374
723	977	372
724	979	371
725	980	370
726	981	368
727	983	367
728	984	366
729	985	364
730	987	363
731	989	362
732	990	360
733	992	359
734	993	358
735	995	356
736	996	355
737	997	354
738	998	352
739	1000	351
740	1001	350
741	1003	348
742	1004	347
743	1005	346
744	1006	344
745	1008	343
746	1009	341
747	1010	340
748	1011	339
749	1013	337
750	1014	336
751	1015	334
752	1016	333
753	1017	331
754	1017	330
755	1018	328
756	1019	327
757	1020	325
758	1020	324
759	1021	322
760	1022	321
761	1023	319
762	1024	318
763	1025	316
764	1025	315
765	1026	313
766	1027	312
767	1027	310
768	1028	308
769	1029	307
770	1030	305
771	1031	304
772	1032	303
773	1032	301
774	1033	300
775	1034	298
776	1035	297
777	1035	295
778	1036	294
779	1037	292
780	1038	291
781	1039	289
782	1040	288
783	1040	286
784	1041	285
785	1042	283
786	1042	282
787	1043	280
788	1044	279
789	1045	277
790	1045	276
791	1046	274
792	1047	273
793	1047	271
794	1048	270
795	1049	268
796	1050	267
797	1050	266
798	1051	264
