"Date","Price","Open","High","Low","Vol.","Change %"
"3 1999","1286.37","1,238.33","1,323.82","1,216.03","-","3.88%"
"2 1999","1238.33","1,279.64","1,283.84","1,211.89","-","-3.23%"
"1 1999","1279.64","1,229.23","1,280.37","1,205.46","-","4.10%"
"12 1998","129.23","1,163.63","1,244.93","1,136.89","-","5.64%"
"11 1998","1163.63","1,098.67","1,192.97","1,098.67","-","5.91%"
"10 1998","1098.67","1,017.01","1,103.78","923.32","-","8.03%"
"9 1998","1017.01","957.28","1,066.11","939.98","-","6.24%"
"8 1998","957.28","1,120.67","1,121.79","957.28","-","-14.58%"
"7 1998","1120.67","1,133.84","1,190.58","1,114.30","-","-1.16%"
"6 1998","1133.84","1,090.82","1,145.15","1,074.67","-","3.94%"
"5 1998","1090.82","1,111.75","1,130.52","1,074.39","-","-1.88%"
"4 1998","1111.75","1,101.75","1,132.98","1,076.70","-","0.91%"
"3 1998","1101.75","1,049.34","1,113.07","1,030.87","-","4.99%"
"2 1998","1049.34","980.28","1,051.66","980.28","-","7.04%"
"1 1998","980.28","970.43","992.65","912.83","-","1.02%"
"12 1997","970.43","955.40","986.25","924.92","-","1.57%"
"11 1997","955.40","914.62","964.55","900.61","-","4.46%"
"10 1997","914.62","947.28","983.12","855.27","-","-3.45%"
"9 1997","947.28","899.47","960.59","899.47","-","5.32%"
"8 1997","899.47","954.29","964.17","893.34","-","-5.75%"
"7 1997","954.31","885.14","957.73","884.54","-","7.81%"
"6 1997","885.14","848.28","902.09","838.82","-","4.35%"
"5 1997","848.28","801.34","851.87","793.21","-","5.86%"
"4 1997","801.34","757.12","804.13","733.54","-","5.84%"
"3 1997","757.12","790.82","814.90","756.13","-","-4.26%"
"2 1997","790.82","786.16","817.68","773.43","-","0.59%"
"1 1997","786.16","740.74","794.67","729.55","-","6.13%"
"12 1996","740.74","757.02","761.75","716.69","-","-2.15%"
"11 1996","757.02","705.27","762.12","701.30","-","7.34%"
"10 1996","705.27","687.31","714.10","684.44","-","2.61%"
"9 1996","687.33","651.99","690.88","643.97","-","5.42%"
"8 1996","651.99","639.95","670.68","639.49","-","1.88%"
"7 1996","639.95","670.63","675.88","605.88","-","-4.57%"
"6 1996","670.63","669.12","680.32","658.75","-","0.23%"
"5 1996","669.12","654.17","681.10","630.07","-","2.29%"
"4 1996","654.17","645.50","656.68","624.14","-","1.34%"
"3 1996","645.50","640.43","656.97","627.63","-","0.79%"
"2 1996","640.43","636.02","664.23","633.71","-","0.69%"
"1 1996","636.02","615.93","636.18","597.29","-","3.26%"
"12 1995","615.93","605.37","622.88","605.05","-","1.74%"
"11 1995","605.37","581.50","608.69","581.04","-","4.10%"
"10 1995","581.50","584.41","590.66","571.55","-","-0.50%"
"9 1995","584.41","561.88","587.61","561.01","-","4.01%"
"8 1995","561.88","562.06","565.62","553.04","-","-0.03%"
"7 1995","562.06","544.75","565.40","542.51","-","3.18%"
"6 1995","544.75","533.40","551.07","526.00","-","2.13%"
"5 1995","533.40","514.76","533.41","513.03","-","3.63%"
"4 1995","514.71","500.70","515.29","500.20","-","2.80%"
"3 1995","500.71","487.39","508.15","479.70","-","2.73%"
"2 1995","487.39","470.42","489.19","469.29","-","3.61%"
"1 1995","470.42","459.21","471.36","457.20","-","2.43%"
"12 1994","459.27","453.55","462.73","442.88","-","1.23%"
"11 1994","453.69","472.26","472.26","444.18","-","-3.95%"
