"Date","Price"
"10/1997","1.116213"
"9/1997","1.096043"
"8/1997","1.065322"
"7/1997","1.095439"
"6/1997","1.133425"
"5/1997","1.147628"
"4/1997","1.144148"
"3/1997","1.152605"
"2/1997","1.167707"
"1/1997","1.223021"
"12/1996","1.259290"
"11/1996","1.289506"
"10/1996","1.275545"
"9/1996","1.289980"
"8/1996","1.306755"
"7/1996","1.292207"
"6/1996","1.273318"
"5/1996","1.268493"
"4/1996","1.289821"
"3/1996","1.306865"
"2/1996","1.314313"
"1/1996","1.319462"
"12/1995","1.331715"
"11/1995","1.351529"
"10/1995","1.348280"
"9/1995","1.312427"
"8/1995","1.329021"
"7/1995","1.372198"
"6/1995","1.356648"
"5/1995","1.345856"
"4/1995","1.365864"
"3/1995","1.340350"
"2/1995","1.277019"
"1/1995","1.256628"
"12/1994","1.229633"
"11/1994","1.258486"
"10/1994","1.276344"
"9/1994","1.251353"
"8/1994","1.239507"
"7/1994","1.237766"
"6/1994","1.196310"
"5/1994","1.176234"
"4/1994","1.151745"
"3/1994","1.152293"
"2/1994","1.126028"
"1/1994","1.120907"
"12/1993","1.137592"
"11/1993","1.138427"
"10/1993","1.175893"
"9/1993","1.191010"
"8/1993","1.142292"
"7/1993","1.147617"
"6/1993","1.198653"
"5/1993","1.231179"
"4/1993","1.234710"
"3/1993","1.196117"
"2/1993","1.202178"
"1/1993","1.227254"
"12/1992","1.255279"
"11/1992","1.257705"
"10/1992","1.343321"
"9/1992","1.394515"
"8/1992","1.404095"
"7/1992","1.370814"
"6/1992","1.300068"
"5/1992","1.262999"
"4/1992","1.240121"
"3/1992","1.230034"
"2/1992","1.261809"
"1/1992","1.296303"
"12/1991","1.303514"
"11/1991","1.256074"
"10/1991","1.208628"
"9/1991","1.204415"
"8/1991","1.172681"
"7/1991","1.144828"
"6/1991","1.147650"
"5/1991","1.194448"
"4/1991","1.204679"
"3/1991","1.272794"
"2/1991","1.380784"
"1/1991","1.353895"
"12/1990","1.361224"
"11/1990","1.376946"
"10/1990","1.346256"
"9/1990","1.308057"
"8/1990","1.309460"
"7/1990","1.256491"
"6/1990","1.221074"
"5/1990","1.234071"
"4/1990","1.215987"
"3/1990","1.200011"
"2/1990","1.217247"
"1/1990","1.202639"
"12/1989","1.170442"
"11/1989","1.116752"
"10/1989","1.095974"
"9/1989","1.053555"
"8/1989","1.068415"
"7/1989","1.084346"
"6/1989","1.036666"
"5/1989","1.056704"
"4/1989","1.097793"
"3/1989","1.100182"
"2/1989","1.107557"
"1/1989","1.120733"
"12/1988","1.166076"
"11/1988","1.169692"
"10/1988","1.123647"
"9/1988","1.096497"
"8/1988","1.087181"
"7/1988","1.113784"
"6/1988","1.171210"
"5/1988","1.212384"
"4/1988","1.226451"
"3/1988","1.222024"
"2/1988","1.208987"
"1/1988","1.245360"
"12/1987","1.25490"
"11/1987","1.218244"
"10/1987","1.144296"
"9/1987","1.137405"
"8/1987","1.109753"
"7/1987","1.117535"
"6/1987","1.134705"
"5/1987","1.153961"
"4/1987","1.141038"
"3/1987","1.127328"
"2/1987","1.130753"
"1/1987","1.110194"
"12/1986","1.044591"
"11/1986","1.027089"
"10/1986","1.037783"
"9/1986","1.021082"
"8/1986","1.011660"
"7/1986","0.975538"
"6/1986","0.944100"
"5/1986","0.947997"
"4/1986","0.930534"
"3/1986","0.937445"
"2/1986","0.912133"
"1/1986","0.871720"
